graph_id;vertices;edges;density;variant;algorithm;total_operations_count;path_length;total_execution_time_ms
0;8;10;unknown;unknown;DAG-ShortestPath;82;13,00;0,120
0;8;10;unknown;unknown;DAG-LongestPath;68;17,00;0,087
0;10;15;unknown;unknown;DAG-ShortestPath;85;10,00;0,163
0;10;15;unknown;unknown;DAG-LongestPath;87;18,00;0,111
0;8;20;unknown;unknown;DAG-ShortestPath;67;0,00;0,194
0;8;20;unknown;unknown;DAG-LongestPath;67;0,00;0,175
0;15;20;unknown;unknown;DAG-ShortestPath;156;12,00;0,158
0;15;20;unknown;unknown;DAG-LongestPath;158;22,00;0,117
0;18;35;unknown;unknown;DAG-ShortestPath;130;0,00;0,110
0;18;35;unknown;unknown;DAG-LongestPath;132;5,00;0,096
0;20;40;unknown;unknown;DAG-ShortestPath;182;7,00;0,130
0;20;40;unknown;unknown;DAG-LongestPath;184;17,00;0,073
0;40;60;unknown;unknown;DAG-ShortestPath;384;19,00;0,136
0;40;60;unknown;unknown;DAG-LongestPath;360;53,00;0,117
0;30;120;unknown;unknown;DAG-ShortestPath;341;4,00;0,177
0;30;120;unknown;unknown;DAG-LongestPath;343;8,00;0,140
0;50;80;unknown;unknown;DAG-ShortestPath;397;10,00;0,139
0;50;80;unknown;unknown;DAG-LongestPath;373;23,00;0,090
